iter	Passed	Remaining
137	1851	11565
138	1861	11533
139	1874	11512
140	1885	11489
141	1897	11463
142	1909	11443
143	1922	11427
144	1936	11416
145	1946	11383
146	1957	11357
147	1969	11336
148	1979	11308
149	1991	11282
150	2002	11261
151	2015	11244
152	2027	11224
153	2039	11202
154	2050	11180
155	2061	11152
156	2072	11128
157	2084	11110
158	2096	11089
159	2107	11065
160	2119	11043
161	2131	11023
162	2142	11002
163	2156	10993
164	2168	10973
165	2180	10955
166	2191	10929
167	2203	10911
168	2214	10889
169	2224	10862
170	2236	10843
171	2248	10824
172	2259	10800
173	2270	10780
174	2282	10759
175	2295	10745
176	2305	10719
177	2317	10703
178	2328	10678
179	2341	10665
180	2355	10656
181	2367	10639
182	2377	10613
183	2389	10596
184	2403	10587
185	2417	10578
186	2427	10555
187	2439	10535
188	2451	10518
189	2462	10498
190	2473	10475
191	2485	10458
192	2497	10442
193	2507	10419
194	2519	10401
195	2542	10429
196	2555	10415
197	2568	10404
198	2580	10388
199	2591	10365
200	2602	10347
201	2614	10329
202	2625	10307
203	2636	10289
204	2648	10270
205	2659	10248
206	2669	10227
207	2682	10213
208	2693	10193
209	2703	10169
210	2714	10152
211	2726	10135
212	2737	10113
213	2748	10094
214	2761	10083
215	2774	10070
216	2786	10055
217	2799	10042
218	2812	10031
219	2823	10011
220	2834	9991
221	2846	9975
222	2858	9958
223	2868	9935
224	2879	9918
225	2891	9902
226	2901	9881
227	2914	9867
228	2926	9852
229	2936	9831
230	2947	9813
231	2959	9796
232	2969	9775
233	2981	9758
234	2993	9744
235	3006	9731
236	3017	9713
237	3028	9697
238	3040	9682
239	3051	9663
240	3063	9647
241	3074	9631
242	3085	9611
243	3097	9596
244	3108	9579
245	3120	9563
246	3130	9544
247	3143	9530
248	3155	9516
249	3165	9495
250	3176	9479
251	3188	9463
252	3206	9465
253	3219	9456
254	3230	9437
255	3242	9422
256	3253	9406
257	3264	9388
258	3276	9373
259	3287	9357
260	3298	9339
261	3309	9322
262	3321	9309
263	3334	9295
264	3345	9278
265	3357	9265
266	3369	9250
267	3380	9234
268	3391	9217
269	3404	9203
270	3417	9193
271	3429	9178
272	3440	9161
273	3453	9149
274	3465	9136
275	3476	9118
276	3488	9104
277	3500	9091
278	3510	9072
279	3522	9058
280	3534	9044
281	3546	9028
282	3556	9011
283	3568	8997
284	3581	8984
285	3594	8973
286	3620	8993
287	3650	9025
288	3665	9018
289	3679	9009
290	3691	8994
291	3704	8981
292	3718	8972
293	3732	8962
294	3747	8954
295	3761	8945
296	3772	8929
297	3787	8921
298	3802	8914
299	3816	8904
300	3830	8895
301	3845	8887
302	3857	8874
303	3869	8859
304	3882	8847
305	3895	8833
306	3905	8816
307	3917	8800
308	3929	8786
309	3940	8770
310	3950	8752
311	3962	8737
312	3975	8725
313	3986	8708
314	3997	8692
315	4009	8677
316	4028	8680
317	4046	8678
318	4064	8676
319	4080	8671
320	4095	8663
321	4110	8655
322	4133	8663
323	4152	8664
324	4172	8665
325	4185	8652
326	4198	8640
327	4214	8635
328	4239	8646
329	4254	8638
330	4271	8632
331	4286	8624
332	4304	8622
333	4319	8612
334	4335	8606
335	4352	8600
336	4373	8604
337	4389	8596
338	4404	8588
339	4418	8577
340	4435	8571
341	4452	8566
342	4470	8562
343	4493	8569
344	4506	8555
345	4519	8542
346	4529	8523
347	4540	8507
348	4552	8492
349	4565	8477
350	4574	8459
351	4588	8447
352	4602	8435
353	4613	8419
354	4624	8401
355	4635	8386
356	4648	8372
357	4658	8353
358	4669	8338
359	4681	8323
360	4692	8305
361	4705	8292
362	4717	8278
363	4732	8268
364	4748	8260
365	4758	8243
366	4769	8227
367	4781	8212
368	4792	8195
369	4803	8179
370	4815	8165
371	4827	8149
372	4838	8133
373	4850	8119
374	4863	8105
375	4872	8086
376	4886	8074
377	4898	8059
378	4911	8047
379	4924	8034
380	4934	8017
381	4947	8004
382	4960	7990
383	4970	7973
384	4984	7961
385	4999	7952
386	5015	7944
387	5054	7971
388	5085	7988
389	5124	8014
390	5174	8059
391	5211	8083
392	5238	8091
393	5262	8094
394	5293	8107
395	5317	8110
396	5335	8104
397	5348	8090
398	5360	8074
399	5373	8059
400	5383	8041
401	5395	8026
402	5408	8011
403	5421	7997
404	5432	7980
405	5444	7965
406	5456	7950
407	5473	7942
408	5494	7939
409	5516	7937
410	5542	7942
411	5581	7965
412	5607	7969
413	5635	7976
414	5663	7983
415	5682	7977
416	5723	8001
417	5745	8000
418	5772	8004
419	5794	8002
420	5824	8009
421	5850	8012
422	5876	8016
423	5901	8017
424	5943	8040
425	5982	8061
426	6020	8078
427	6089	8138
428	6135	8166
429	6190	8205
430	6206	8193
431	6219	8177
432	6232	8161
433	6245	8145
434	6260	8131
435	6274	8115
436	6285	8097
437	6296	8078
438	6309	8062
439	6322	8046
440	6332	8026
441	6344	8009
442	6358	7994
443	6370	7977
444	6381	7958
445	6392	7941
446	6404	7922
447	6414	7904
448	6425	7885
449	6437	7868
450	6451	7853
451	6467	7841
452	6478	7822
453	6490	7805
454	6501	7788
455	6512	7769
456	6524	7752
457	6537	7736
458	6550	7720
459	6572	7715
460	6584	7698
461	6593	7678
462	6606	7662
463	6618	7645
464	6630	7628
465	6640	7609
466	6652	7592
467	6666	7577
468	6677	7560
469	6689	7543
470	6703	7529
471	6718	7515
472	6731	7499
473	6741	7481
474	6753	7464
475	6765	7447
476	6775	7429
477	6787	7412
478	6799	7395
479	6810	7378
480	6821	7360
481	6833	7344
482	6845	7327
483	6856	7310
484	6874	7299
485	6887	7283
486	6900	7268
487	6915	7255
488	6936	7248
489	6960	7244
490	6989	7245
491	7016	7244
492	7035	7235
493	7064	7236
494	7084	7227
495	7112	7226
496	7133	7220
497	7163	7220
498	7181	7210
499	7202	7202
500	7241	7212
501	7271	7213
502	7296	7209
503	7333	7216
504	7365	7219
505	7405	7229
506	7439	7233
507	7461	7226
508	7484	7219
509	7500	7206
510	7513	7189
511	7529	7176
512	7546	7164
513	7560	7148
514	7571	7130
515	7582	7112
516	7593	7094
517	7604	7076
518	7615	7057
519	7625	7039
520	7639	7023
521	7651	7006
522	7662	6988
523	7673	6970
524	7688	6956
525	7701	6940
526	7713	6923
527	7744	6923
528	7777	6924
529	7804	6921
530	7943	7016
531	7986	7025
532	8025	7031
533	8037	7013
534	8049	6996
535	8059	6977
536	8071	6959
537	8083	6941
538	8095	6923
539	8105	6904
540	8116	6886
541	8128	6868
542	8139	6850
543	8151	6832
544	8165	6816
545	8176	6798
546	8187	6780
547	8199	6762
548	8211	6745
549	8223	6728
550	8235	6711
551	8246	6693
552	8258	6675
553	8268	6656
554	8279	6638
555	8291	6621
556	8302	6603
557	8313	6585
558	8325	6568
559	8335	6549
560	8347	6531
561	8358	6514
562	8369	6496
563	8380	6478
564	8393	6462
565	8405	6445
566	8416	6427
567	8428	6410
568	8439	6392
569	8451	6375
570	8463	6359
571	8475	6342
572	8486	6323
573	8500	6308
574	8514	6293
575	8527	6277
576	8541	6261
577	8551	6243
578	8568	6230
579	8581	6214
580	8594	6198
581	8609	6183
582	8622	6167
583	8634	6150
584	8647	6134
585	8659	6118
586	8676	6104
587	8689	6088
588	8702	6072
589	8714	6056
590	8728	6040
591	8741	6024
592	8753	6007
593	8764	5990
594	8777	5974
595	8790	5958
596	8804	5943
597	8817	5927
598	8829	5910
599	8843	5895
600	8856	5880
601	8869	5864
602	8881	5847
603	8894	5831
604	8906	5815
605	8920	5799
606	8933	5783
607	8944	5766
608	8958	5751
609	8974	5737
610	8986	5721
611	8999	5705
612	9011	5688
613	9024	5673
614	9049	5665
615	9060	5647
616	9073	5632
617	9085	5616
618	9098	5600
619	9109	5583
620	9122	5567
621	9133	5550
622	9145	5534
623	9156	5517
624	9170	5502
625	9183	5486
626	9194	5470
627	9207	5454
628	9219	5437
629	9230	5421
630	9241	5404
631	9253	5388
632	9266	5372
633	9279	5357
634	9290	5340
635	9301	5323
636	9313	5307
637	9323	5290
638	9334	5273
639	9346	5257
640	9360	5242
641	9372	5226
642	9383	5209
643	9395	5193
644	9405	5176
645	9417	5160
646	9428	5144
647	9439	5127
648	9451	5111
649	9463	5095
650	9476	5080
651	9487	5063
652	9502	5049
653	9513	5032
654	9524	5016
655	9534	5000
656	9546	4983
657	9557	4967
658	9568	4951
659	9580	4935
660	9592	4919
661	9602	4902
662	9614	4887
663	9626	4871
664	9637	4855
665	9648	4838
666	9662	4824
667	9674	4808
668	9687	4793
669	9700	4778
670	9724	4768
671	9750	4759
672	9769	4746
673	9784	4732
674	9799	4718
675	9811	4702
676	9823	4686
677	9834	4670
678	9845	4654
679	9858	4639
680	9869	4623
681	9879	4606
682	9891	4590
683	9905	4576
684	9917	4560
685	9927	4543
686	9938	4528
687	9950	4512
688	9961	4496
689	9973	4480
690	9985	4465
691	9996	4449
692	10007	4433
693	10019	4417
694	10029	4401
695	10040	4385
696	10052	4369
697	10062	4353
698	10075	4338
699	10088	4323
700	10104	4310
701	10118	4295
702	10134	4281
703	10147	4266
704	10162	4252
705	10180	4239
706	10193	4224
707	10211	4211
708	10226	4197
709	10241	4183
710	10255	4168
711	10269	4154
712	10281	4138
713	10291	4122
714	10305	4107
715	10319	4093
716	10333	4078
717	10345	4063
718	10356	4047
719	10368	4032
720	10382	4017
721	10395	4002
722	10409	3988
723	10431	3976
724	10449	3963
725	10486	3957
726	10540	3958
727	10582	3954
728	10618	3947
729	10645	3937
730	10669	3926
731	10711	3921
732	10740	3912
733	10766	3901
734	10795	3892
735	10827	3883
736	10850	3871
737	10872	3859
738	10896	3848
739	10918	3836
740	10945	3825
741	10964	3812
742	10985	3799
743	11000	3785
744	11020	3772
745	11038	3758
746	11055	3744
747	11079	3732
748	11098	3719
749	11116	3705
750	11137	3692
751	11154	3678
752	11171	3664
753	11191	3651
754	11209	3637
755	11228	3624
756	11253	3612
757	11269	3597
758	11295	3586
759	11322	3575
760	11370	3571
761	11432	3570
762	11515	3577
763	11565	3572
764	11579	3557
765	11595	3542
766	11615	3528
767	11637	3515
768	11657	3501
769	11683	3489
770	11703	3476
771	11724	3462
772	11752	3451
773	11775	3438
774	11797	3425
775	11817	3411
776	11839	3398
777	11858	3383
778	11877	3369
779	11901	3356
780	11929	3345
781	11949	3331
782	11970	3317
783	11996	3305
784	12025	3293
785	12046	3279
786	12068	3266
787	12092	3253
788	12117	3240
789	12134	3225
790	12152	3211
791	12168	3195
792	12189	3181
793	12205	3166
794	12226	3152
795	12243	3137
796	12262	3123
797	12280	3108
798	12297	3093
799	12321	3080
800	12339	3065
801	12359	3051
802	12376	3036
803	12393	3021
804	12413	3007
805	12467	3000
806	12487	2986
807	12506	2971
808	12524	2956
809	12542	2942
810	12577	2931
811	12605	2918
812	12640	2907
813	12665	2894
814	12685	2879
815	12706	2865
816	12727	2850
817	12752	2837
818	12770	2822
819	12789	2807
820	12807	2792
821	12826	2777
822	12844	2762
823	12861	2747
824	12884	2733
825	12900	2717
826	12916	2702
827	12933	2686
828	12948	2671
829	12968	2656
830	12987	2641
831	13005	2626
832	13022	2610
833	13041	2595
834	13066	2582
835	13092	2568
836	13119	2554
837	13147	2541
838	13176	2528
839	13203	2515
840	13224	2500
841	13245	2485
842	13264	2470
843	13286	2455
844	13324	2444
845	13347	2429
846	13365	2414
847	13383	2398
848	13400	2383
849	13417	2367
850	13434	2352
851	13453	2336
852	13471	2321
853	13496	2307
854	13515	2292
855	13541	2277
856	13568	2264
857	13589	2249
858	13611	2234
859	13649	2222
860	13673	2207
861	13734	2198
862	13758	2184
863	13776	2168
864	13793	2152
865	13810	2137
866	13828	2121
867	13845	2105
868	13861	2089
869	13877	2073
870	13894	2057
871	13912	2042
872	13926	2025
873	13946	2010
874	13961	1994
875	13981	1979
876	13999	1963
877	14022	1948
878	14041	1932
879	14068	1918
880	14089	1903
881	14111	1887
882	14133	1872
883	14160	1858
884	14178	1842
885	14203	1827
886	14223	1811
887	14242	1796
888	14262	1780
889	14282	1765
890	14304	1749
891	14329	1734
892	14435	1729
893	14506	1719
894	14563	1708
895	14583	1692
896	14618	1678
897	14639	1662
898	14663	1647
899	14680	1631
900	14701	1615
901	14720	1599
902	14742	1583
903	14762	1567
904	14780	1551
905	14797	1535
906	14813	1518
907	14829	1502
908	14845	1486
909	14871	1470
910	14893	1454
911	14909	1438
912	14925	1422
913	14941	1405
914	14956	1389
915	14971	1372
916	14985	1356
917	14997	1339
918	15011	1323
919	15025	1306
920	15037	1289
921	15049	1273
922	15061	1256
923	15073	1239
924	15087	1223
925	15100	1206
926	15111	1190
927	15124	1173
928	15137	1156
929	15149	1140
930	15160	1123
931	15172	1106
932	15184	1090
933	15198	1073
934	15210	1057
935	15226	1041
936	15241	1024
937	15258	1008
938	15284	992
939	15308	977
940	15337	961
941	15362	945
942	15381	929
943	15402	913
944	15424	897
945	15447	881
946	15464	865
947	15480	849
948	15496	832
949	15508	816
950	15521	799
951	15535	783
952	15549	766
953	15563	750
954	15579	734
955	15595	717
956	15609	701
957	15621	684
958	15634	668
959	15648	652
960	15663	635
961	15677	619
962	15700	603
963	15717	586
964	15739	570
965	15760	554
966	15779	538
967	15797	522
968	15824	506
969	15848	490
970	15875	474
971	15897	457
972	15917	441
973	15934	425
974	15953	409
975	15969	392
976	15983	376
977	15997	359
978	16011	343
979	16024	327
980	16038	310
981	16050	294
982	16063	277
983	16081	261
984	16094	245
985	16108	228
986	16126	212
987	16140	196
988	16156	179
989	16178	163
990	16204	147
991	16225	130
992	16243	114
993	16262	98
994	16283	81
995	16299	65
996	16314	49
997	16332	32
998	16347	16
999	16360	0
